update,total number of tasks solved
0,1
100,602
200,2223
300,4921
400,7960
500,8249
600,8189
700,8120
800,8126
900,8029
1000,8187
1100,7946
1200,8271
1300,8011
1400,8018
1500,8292
1600,8176
1700,7998
1800,8109
1900,8217
2000,8042
2100,8116
2200,7968
2300,8109
2400,8264
2500,8200
2600,7932
2700,8159
2800,8364
2900,8358
3000,7962
3100,7950
3200,8036
3300,8184
3400,8221
3500,8025
3600,8340
3700,8316
3800,8147
3900,8364
4000,7926
4100,7799
4200,8033
4300,8216
4400,8310
4500,7968
4600,8053
4700,8387
4800,7958
4900,8050
5000,8254
5100,7968
5200,8175
5300,8102
5400,8207
5500,8126
5600,8254
5700,8226
5800,8113
5900,8192
6000,7925
6100,7979
6200,8183
6300,7938
6400,8057
6500,8043
6600,8191
6700,8265
6800,8138
6900,8084
7000,8154
7100,8165
7200,8183
7300,8154
7400,8432
7500,8123
7600,8134
7700,8038
7800,7848
7900,8302
8000,8122
8100,7738
8200,8165
8300,8175
8400,8615
8500,8328
8600,8112
8700,8072
8800,8153
8900,8213
9000,8274
9100,8092
9200,7978
9300,8326
9400,8535
9500,8153
9600,8307
9700,8136
9800,8391
9900,7966
10000,7961
10100,8112
10200,7969
10300,8250
10400,8495
10500,8150
10600,8073
10700,8203
10800,8194
10900,8109
11000,8131
11100,8199
11200,7970
11300,8052
11400,8181
11500,8278
11600,8010
11700,8202
11800,8053
11900,8027
12000,8342
12100,8193
12200,8116
12300,8069
12400,8176
12500,8061
12600,8181
12700,7948
12800,8423
12900,8321
13000,8523
13100,8380
13200,8274
13300,7994
13400,8057
13500,8148
13600,7939
13700,8198
13800,7888
13900,8273
14000,8158
14100,8334
14200,8244
14300,7986
14400,8022
14500,8036
14600,8165
14700,8172
14800,8195
14900,8149
15000,8256
15100,8157
15200,8262
15300,8336
15400,8286
15500,8429
15600,8178
15700,8579
15800,8211
15900,8169
16000,8138
16100,8236
16200,8274
16300,8466
16400,8267
16500,8072
16600,8146
16700,8017
16800,8060
16900,8383
17000,8204
17100,8124
17200,8060
17300,8307
17400,8088
17500,8382
17600,8413
17700,8404
17800,8346
17900,8055
18000,8065
18100,8236
18200,8246
18300,8074
18400,8242
18500,8426
18600,8388
18700,8249
18800,7996
18900,8324
19000,7948
19100,8163
19200,8219
19300,8021
19400,8006
19500,8052
19600,8289
19700,8309
19800,8064
19900,8145
20000,8241
20100,8027
20200,8390
20300,8111
20400,8323
20500,8287
20600,8066
20700,8371
20800,8293
20900,8419
21000,8314
21100,8068
21200,8320
21300,8055
21400,7958
21500,8394
21600,8226
21700,8235
21800,7856
21900,7946
22000,8280
22100,7821
22200,8261
22300,8017
22400,8145
