update,total number of tasks solved
0,1
100,541
200,2282
300,5425
400,9600
500,15384
600,20766
700,22547
800,23112
900,21977
1000,22899
1100,22784
1200,22771
1300,22792
1400,22823
1500,22835
1600,22709
1700,22311
1800,22961
1900,22452
2000,22679
2100,22708
2200,22411
2300,22685
2400,23101
2500,22468
2600,22499
2700,22444
2800,22600
2900,22597
3000,22677
3100,23159
3200,22420
3300,23224
3400,22992
3500,22617
3600,23180
3700,23318
3800,22701
3900,22518
4000,22602
4100,22931
4200,22841
4300,23123
4400,22265
4500,22863
4600,22733
4700,22503
4800,22360
4900,22953
5000,22671
5100,22321
5200,22562
5300,22706
5400,23446
5500,23058
5600,22690
5700,22336
5800,22845
5900,22182
6000,22443
6100,22533
6200,22490
6300,22726
6400,22543
6500,22348
6600,22449
6700,22521
6800,22780
6900,22321
7000,22549
7100,22347
7200,22876
7300,22703
7400,22517
7500,22819
7600,22995
7700,22563
7800,22713
7900,22825
8000,22942
8100,23035
8200,22492
8300,23325
8400,22924
8500,22637
8600,22836
8700,23009
8800,22206
8900,22650
9000,22476
9100,22319
9200,22241
9300,22614
9400,22351
9500,22988
9600,22946
9700,22775
9800,22540
9900,23139
10000,22643
10100,22323
10200,22877
10300,22785
10400,22963
10500,22833
10600,23023
10700,22506
10800,22676
10900,22660
11000,22623
11100,22822
11200,22500
11300,22790
11400,22165
11500,23082
11600,22752
11700,22447
11800,22932
11900,22704
12000,22407
12100,22563
12200,22597
12300,22526
12400,22299
12500,23009
12600,22959
12700,22619
12800,22356
12900,22743
13000,23100
13100,22525
13200,22769
13300,22684
13400,22859
13500,22874
13600,22860
13700,22557
13800,22117
13900,22377
14000,22800
14100,23051
14200,22894
14300,22750
14400,22581
14500,23244
14600,22681
14700,23120
14800,22166
14900,22672
15000,22729
15100,22528
15200,22695
15300,22541
15400,22869
15500,22526
15600,23309
15700,22580
15800,22695
15900,23249
16000,22523
16100,22667
16200,22725
16300,22840
16400,22507
16500,22877
16600,22353
16700,22407
16800,22637
16900,22427
17000,22623
17100,22697
17200,22775
17300,22627
17400,22032
17500,22774
17600,22612
17700,22386
17800,22863
17900,22856
18000,22921
18100,22580
18200,22752
18300,22746
18400,22571
18500,22029
18600,22650
18700,23018
18800,22730
18900,22621
19000,22676
19100,22279
19200,23451
19300,22953
19400,22877
19500,22455
19600,22604
19700,22497
19800,22899
19900,22501
20000,22707
20100,22257
20200,22949
20300,22439
20400,22737
20500,22297
20600,22594
20700,23068
20800,22194
20900,22403
21000,22634
21100,22481
21200,22682
21300,22670
21400,22508
21500,22757
21600,23004
21700,22429
21800,22479
21900,22876
22000,22755
22100,22292
22200,22715
22300,22129
22400,22809
22500,22868
22600,22676
22700,22886
22800,22911
22900,22589
23000,22709
23100,22502
23200,22464
23300,22925
23400,23075
23500,22188
23600,22769
23700,22569
23800,22482
23900,22706
24000,22845
24100,22844
24200,22871
24300,22548
24400,22930
24500,23026
24600,23455
24700,22632
24800,23051
24900,22595
25000,22546
25100,22644
25200,22632
25300,22951
25400,22319
25500,22384
25600,22684
25700,22708
25800,22664
25900,22746
26000,22566
26100,22965
26200,22900
26300,22792
26400,22455
26500,23239
26600,22976
26700,22684
26800,22664
26900,22742
27000,22963
27100,22170
27200,22621
27300,22466
27400,22775
27500,22487
27600,22907
27700,22928
27800,22825
27900,22307
28000,22556
28100,22825
28200,22914
28300,22783
28400,22427
28500,22212
28600,22793
28700,22858
28800,22483
28900,22680
29000,22507
29100,22761
29200,22686
29300,22351
29400,22458
29500,22949
29600,22212
29700,22348
29800,23348
29900,22750
30000,22766
30100,22731
30200,22470
30300,22612
30400,22642
30500,22452
30600,22370
30700,22185
30800,22505
30900,22341
31000,22804
31100,22827
31200,22796
31300,22478
31400,22598
31500,22375
31600,22863
31700,23098
31800,22701
31900,22625
32000,22793
32100,22730
32200,22964
32300,22575
32400,22799
32500,22660
32600,22685
32700,23211
32800,22767
32900,22771
33000,22520
33100,22620
33200,22657
33300,23146
33400,22590
33500,22537
33600,22662
33700,22202
33800,22705
33900,22839
34000,22786
34100,22441
34200,22356
34300,22905
34400,22411
34500,22682
34600,23118
34700,22634
34800,22434
34900,22785
35000,22495
35100,22566
35200,22304
35300,22931
35400,23004
35500,22887
35600,22190
35700,22780
35800,22671
35900,22799
36000,22775
36100,22720
36200,22778
36300,22770
36400,22784
36500,22637
36600,22870
36700,22434
36800,23012
36900,22686
37000,22560
37100,22226
37200,22712
37300,22676
37400,23115
37500,22532
37600,22644
37700,22581
37800,22697
37900,22879
38000,23397
38100,22838
38200,22448
38300,23266
38400,22676
38500,22942
38600,23009
38700,22678
38800,22858
38900,22410
39000,22525
39100,23099
39200,22221
39300,23014
39400,22999
39500,22391
39600,22329
39700,22322
39800,22775
39900,22558
40000,22706
40100,22664
40200,22513
40300,22379
40400,21986
40500,22900
40600,22753
40700,22702
40800,22311
40900,22964
41000,22613
41100,22845
41200,22530
41300,22831
41400,21899
41500,22894
41600,22925
41700,22746
41800,22776
41900,22438
42000,22836
42100,22636
42200,22801
42300,22828
42400,22639
42500,22665
42600,22663
42700,22700
42800,22464
42900,22662
43000,22402
43100,22514
43200,22515
43300,22342
43400,21981
43500,22247
43600,22693
43700,22756
43800,22431
43900,22721
44000,22614
44100,23148
44200,22839
44300,22461
44400,22507
44500,22923
44600,22589
44700,22436
44800,22771
44900,22881
45000,22668
45100,22679
45200,23049
45300,22520
45400,22726
45500,22873
45600,22622
45700,22742
45800,22503
45900,22909
46000,22149
46100,22510
46200,22427
46300,23149
46400,22968
46500,23023
46600,23003
46700,22734
46800,22351
46900,22837
47000,22942
47100,22375
47200,22434
47300,22432
47400,22769
47500,22931
47600,22365
47700,22821
47800,22719
47900,22409
48000,22681
48100,22259
48200,23116
48300,22570
48400,22812
48500,22614
48600,22675
48700,22685
48800,23203
48900,22857
49000,22496
49100,22442
49200,22589
49300,22762
49400,22256
49500,22677
49600,22700
49700,22138
49800,22772
49900,22235
50000,22558
50100,22504
50200,22991
50300,22797
50400,23011
50500,23372
50600,23051
50700,22769
50800,22570
50900,22704
51000,22855
51100,22664
51200,22746
51300,22795
51400,23313
51500,22823
51600,22738
51700,22027
51800,22922
51900,22726
52000,22895
52100,22719
52200,22385
52300,22669
52400,22709
52500,22461
52600,22835
52700,22411
52800,22964
52900,22078
53000,23117
53100,22668
53200,22682
53300,22528
53400,22715
53500,22748
53600,22648
53700,22801
53800,22810
53900,22989
54000,22593
54100,22896
54200,22424
54300,22259
54400,22655
54500,22693
54600,22597
54700,22544
54800,22637
54900,22887
55000,23008
55100,22896
55200,22699
55300,22827
55400,22270
55500,22502
55600,22558
55700,23068
55800,22698
55900,22833
56000,22921
56100,22920
56200,22687
56300,22936
56400,22378
56500,22520
56600,22935
56700,22868
56800,22199
56900,22851
57000,22618
57100,22741
57200,22683
57300,22975
57400,22887
57500,22616
57600,22705
57700,22736
57800,22834
57900,22944
58000,22656
58100,22955
58200,22674
58300,22662
58400,22477
58500,23143
58600,22706
58700,22689
58800,22874
58900,22676
59000,22483
59100,22492
59200,22508
59300,22227
59400,22688
59500,22833
59600,22625
59700,22639
59800,22884
59900,23101
60000,22372
60100,22659
60200,22896
60300,22657
60400,22470
60500,23343
60600,22707
60700,22958
60800,22685
60900,22281
61000,22635
61100,22851
61200,22553
61300,22162
61400,22720
61500,22297
61600,22673
61700,22765
61800,22752
61900,22403
62000,22403
62100,22832
62200,22497
62300,22530
62400,22212
62500,22712
62600,22582
62700,22975
62800,22786
62900,22299
63000,23013
63100,22598
63200,22950
63300,22741
63400,22917
63500,22538
63600,22997
63700,22637
63800,22412
63900,22497
64000,23022
64100,23395
64200,22480
64300,22730
64400,22943
64500,22581
64600,22909
64700,22775
64800,22672
64900,23023
65000,22574
65100,23201
65200,22531
65300,22224
65400,22822
65500,22881
65600,22719
65700,22559
65800,22681
65900,22658
66000,22440
66100,22735
66200,22128
66300,22483
66400,22583
66500,22831
66600,23127
66700,22538
66800,22919
66900,22549
67000,23357
67100,22834
67200,22726
67300,22938
67400,22569
67500,22738
67600,22430
67700,22649
67800,22632
67900,22968
68000,22365
68100,22601
68200,22654
68300,23090
68400,22820
68500,22649
68600,22750
68700,22872
68800,22383
68900,22443
69000,22544
69100,22708
69200,22500
69300,22941
69400,22952
69500,22464
69600,22724
69700,22592
69800,22573
69900,23027
70000,22927
70100,22825
70200,22962
70300,22294
70400,22997
70500,22577
70600,23110
70700,22577
70800,22773
70900,22952
71000,22894
71100,22852
71200,22569
71300,22336
71400,22582
71500,22249
71600,22405
71700,22730
71800,22199
71900,21980
72000,22269
72100,23100
72200,22216
72300,22749
72400,22929
72500,22720
72600,22793
72700,23008
72800,22458
72900,21989
73000,22537
73100,22608
73200,22516
73300,22618
73400,22458
73500,22333
73600,22538
73700,23249
73800,22739
73900,22564
74000,23066
74100,22363
74200,22613
74300,22769
74400,22558
74500,22732
74600,22748
74700,22733
74800,22543
74900,22707
75000,22339
75100,22893
75200,22304
75300,22676
75400,22754
75500,22620
75600,22770
75700,22718
75800,22393
75900,22388
76000,22976
76100,22635
76200,22514
76300,22540
76400,23065
76500,22482
76600,22698
76700,22130
76800,22199
76900,23126
77000,22352
77100,22321
77200,22870
77300,22554
77400,22652
77500,22769
77600,22662
77700,22762
77800,22882
77900,22286
78000,22545
78100,22165
78200,22543
78300,22935
78400,22314
78500,23006
78600,22391
78700,23153
78800,22491
78900,22723
79000,22365
79100,22260
79200,23021
79300,22664
79400,23218
79500,22823
79600,22652
79700,22593
79800,22424
79900,22897
80000,22860
80100,22995
80200,22494
80300,22293
80400,22883
80500,23100
80600,22849
80700,23086
80800,22600
80900,22924
81000,22873
81100,22353
81200,22659
81300,22286
81400,22549
81500,22416
81600,22256
81700,22624
81800,22435
81900,22458
82000,22517
82100,22993
82200,22508
82300,22557
82400,22770
82500,22773
82600,22649
82700,22628
82800,22791
82900,22606
83000,22774
83100,22827
83200,22850
83300,22724
83400,22666
83500,23110
83600,23158
83700,22858
83800,22502
83900,22728
84000,22410
84100,22920
84200,22754
84300,22717
84400,22843
84500,22766
84600,22863
84700,22523
84800,22903
84900,22729
85000,22574
85100,22338
85200,22272
85300,22723
85400,23024
85500,22945
85600,22392
85700,22621
85800,23236
85900,23519
86000,22743
86100,22716
86200,22635
86300,22763
86400,22595
86500,22885
86600,22570
86700,22917
86800,22784
86900,22686
87000,22772
87100,22714
87200,22688
87300,22909
87400,22819
87500,22928
87600,22946
87700,22518
87800,22712
87900,22443
88000,22789
88100,22953
88200,22588
88300,22537
88400,22671
88500,22599
88600,22566
88700,22852
88800,22826
88900,22805
89000,22384
89100,22846
89200,22797
89300,22538
89400,23078
89500,23099
89600,22455
89700,22474
89800,22705
89900,22794
90000,22742
90100,22976
90200,22921
90300,22681
90400,22447
90500,22605
90600,22841
90700,22830
90800,22611
90900,22201
91000,22928
91100,23099
91200,22763
91300,22655
91400,22682
91500,22392
91600,22463
91700,22669
91800,22921
91900,22896
92000,22713
92100,22643
92200,22319
92300,22168
92400,22544
92500,22697
92600,22366
92700,22553
92800,22573
92900,22967
93000,22978
93100,22674
93200,22428
93300,22394
93400,22452
93500,22662
93600,22507
93700,23203
93800,22495
93900,22948
94000,22868
94100,22667
94200,22792
94300,22517
94400,22659
94500,22718
94600,22615
94700,22315
94800,22422
94900,22586
95000,22587
95100,22863
95200,22399
95300,22624
95400,23133
95500,23088
95600,22707
95700,22487
95800,22571
95900,22203
96000,22395
96100,22681
96200,22465
96300,22721
96400,22861
96500,22428
96600,23115
96700,22501
96800,22587
96900,22534
97000,22934
97100,22789
97200,23085
97300,22712
97400,22570
97500,22871
97600,23382
97700,22560
97800,22802
97900,23076
98000,22925
98100,22869
98200,22732
98300,22790
98400,22528
98500,22534
98600,22869
98700,22712
98800,22749
98900,23292
99000,22390
99100,22569
99200,22684
99300,22857
99400,22642
99500,22656
99600,22658
99700,23017
99800,22509
99900,22723
100000,14599
100100,19755
100200,22752
100300,22566
100400,22249
100500,22625
100600,22493
100700,22670
100800,22578
100900,22626
101000,22446
101100,22336
101200,22447
101300,22354
101400,22502
101500,22949
101600,22898
101700,22735
101800,22989
101900,22817
102000,22223
102100,22837
102200,22814
102300,22408
102400,22636
102500,22418
102600,23180
102700,22726
102800,22788
102900,22868
103000,22612
103100,23088
103200,22817
103300,22703
103400,22602
103500,22762
103600,22830
103700,22721
103800,22581
103900,22493
104000,22793
104100,22557
104200,22605
104300,22772
104400,22615
104500,23117
104600,22346
104700,22747
104800,22642
104900,22583
105000,22613
105100,23291
105200,22930
105300,22784
105400,22626
105500,22226
105600,22602
105700,23023
105800,22811
105900,22978
106000,22818
106100,22470
106200,22829
106300,22844
106400,22588
106500,22817
106600,22532
106700,22374
106800,22335
106900,22535
107000,22464
107100,22442
107200,22511
107300,22679
107400,23158
107500,22779
107600,22948
107700,23239
107800,22690
107900,22840
108000,22493
108100,22687
108200,22817
108300,22940
108400,22610
108500,22510
108600,22863
108700,22588
108800,22460
108900,23065
109000,23252
109100,22856
109200,22350
109300,22440
109400,22575
109500,22522
109600,22796
109700,22794
109800,23031
109900,22724
110000,22896
110100,22554
110200,23118
110300,22068
110400,22766
110500,22694
110600,23079
110700,22926
110800,22674
110900,22918
111000,22855
111100,22600
111200,23143
111300,22491
111400,22933
111500,22772
111600,22836
111700,22719
111800,22516
111900,23046
112000,22053
112100,22765
112200,23107
112300,22910
112400,23199
112500,22360
112600,23007
112700,22261
112800,22828
112900,22871
113000,22953
113100,22565
113200,23133
113300,22214
113400,22695
113500,22600
113600,22833
113700,22479
113800,22993
113900,22838
114000,22104
114100,23047
114200,23000
114300,22740
114400,22311
114500,22863
114600,22558
114700,22600
114800,22688
114900,22449
115000,22607
115100,22631
115200,22897
115300,22821
115400,22683
115500,22853
115600,22309
115700,22660
115800,22410
115900,22626
116000,22739
116100,22500
116200,22431
116300,22576
116400,22502
116500,22685
116600,22792
116700,22580
116800,22743
116900,22437
117000,23321
117100,22865
117200,22564
117300,22182
117400,22283
117500,22476
117600,22782
117700,22575
117800,22860
117900,22793
118000,22274
118100,22746
118200,22853
118300,23043
118400,22472
118500,23109
118600,22695
118700,22406
118800,22968
118900,22573
119000,22751
119100,22286
119200,22373
119300,22773
119400,22920
119500,22474
119600,22259
119700,23273
119800,22714
119900,22594
120000,22847
120100,23089
120200,22714
120300,23276
120400,22907
120500,23181
120600,22651
120700,22862
120800,22313
120900,22735
121000,22375
121100,22591
121200,22868
121300,23098
121400,22763
121500,22461
121600,23120
121700,22606
121800,22934
121900,22824
122000,22940
122100,22497
122200,22923
122300,22620
122400,22799
122500,22800
122600,22355
122700,22537
122800,22615
122900,22637
123000,23414
123100,22739
123200,22525
123300,22470
123400,22189
123500,22940
123600,22401
123700,22632
123800,22613
123900,22457
124000,22503
124100,22674
