update tasks_solved
0 1

100 74

200 115

300 101

400 106

500 117

600 108

700 107

800 103

900 97

1000 106

1100 85

1200 120

1300 159

1400 123

1500 129

1600 101

1700 111

1800 137

1900 100

2000 152

2100 121

2200 69

2300 101

2400 100

2500 103

2600 110

2700 113

2800 126

2900 77

3000 134

3100 127

3200 100

3300 105

3400 106

3500 119

3600 113

3700 106

3800 109

3900 102

4000 108

4100 147

4200 117

4300 94

4400 122

4500 104

4600 101

4700 131

4800 105

4900 104

5000 107

5100 117

5200 103

5300 115

5400 100

5500 109

5600 88

5700 117

5800 101

5900 82

6000 112

6100 92

6200 124

6300 117

6400 91

6500 103

6600 159

6700 135

6800 148

6900 106

7000 109

7100 99

7200 139

7300 117

7400 86

7500 151

7600 136

7700 129

7800 119

7900 102

8000 138

8100 103

8200 74

8300 106

8400 122

8500 81

8600 113

8700 106

8800 103

8900 136

9000 105

9100 91

9200 156

9300 142

9400 157

9500 80

9600 75

9700 87

9800 120

9900 85

10000 97

10100 91

10200 113

10300 112

10400 121

10500 96

10600 98

10700 101

10800 96

10900 102

11000 121

11100 126

11200 136

11300 72

11400 91

11500 129

11600 149

11700 112

11800 93

11900 141

12000 65

12100 143

12200 84

12300 120

12400 92

12500 106

12600 125

12700 62

12800 130

12900 112

13000 84

13100 64

13200 116

13300 127

13400 95

13500 117

13600 90

13700 77

13800 83

13900 130

14000 94

14100 99

14200 87

14300 84

14400 143

14500 101

14600 138

14700 132

14800 93

14900 104

15000 102

15100 116

15200 132

15300 86

15400 111

15500 134

15600 106

15700 114

15800 92

15900 102

16000 91

16100 117

16200 109

16300 78

16400 65

16500 98

16600 137

16700 124

16800 75

16900 100

17000 109

17100 162

17200 114

17300 118

17400 106

17500 80

17600 142

17700 105

17800 126

17900 74

18000 136

18100 100

18200 94

18300 69

18400 141

18500 107

18600 113

18700 114

18800 132

18900 161

19000 124

19100 70

19200 142

19300 104

19400 77

19500 85

19600 86

19700 113

19800 142

19900 128

20000 102

20100 116

20200 131

20300 119

20400 95

20500 73

20600 82

20700 150

20800 90

20900 146

21000 97

21100 95

21200 104

21300 116

21400 95

21500 85

21600 116

21700 93

21800 86

21900 104

22000 50

22100 108

22200 70

22300 130

22400 106

22500 135

22600 78

22700 100

22800 108

22900 112

23000 74

23100 136

23200 132

23300 121

23400 99

23500 93

23600 90

23700 92

23800 117

23900 96

