update tasks_solved
0 1

100 375

200 1781

300 2065

400 2034

500 1992

600 2042

700 2161

800 2030

900 2160

1000 2092

1100 1958

1200 2138

1300 1963

1400 2168

1500 1995

1600 2102

1700 2127

1800 2075

1900 1872

2000 2050

2100 2108

2200 2008

2300 2114

2400 2113

2500 2102

2600 1941

2700 2019

2800 2094

2900 2140

3000 2073

3100 2044

3200 2064

3300 2080

3400 2077

3500 1965

3600 1992

3700 2100

3800 2093

3900 2140

4000 2005

4100 2060

4200 2038

4300 2085

4400 1998

4500 2119

4600 2034

4700 2098

4800 2118

4900 1911

5000 2041

5100 2191

5200 2064

5300 2090

5400 2079

5500 2133

5600 2102

5700 2172

5800 2125

5900 2140

6000 2007

6100 2013

6200 2067

6300 2112

6400 1999

6500 2064

6600 2016

6700 1987

6800 2043

6900 1951

7000 2179

7100 2022

7200 1992

7300 2027

7400 2172

7500 1972

7600 2115

7700 2092

7800 2038

7900 2219

8000 2021

8100 2064

8200 2199

8300 2044

8400 2129

8500 2149

8600 1948

8700 2020

8800 2138

8900 1984

9000 1956

9100 2081

9200 2189

9300 2054

9400 2018

9500 2046

9600 2149

9700 2048

9800 2034

9900 2086

10000 1997

10100 1939

10200 2149

10300 2051

10400 1961

10500 2219

10600 2140

10700 2021

10800 1857

10900 1977

11000 1942

11100 2009

11200 2053

11300 2137

11400 2020

11500 1922

11600 2119

11700 2153

11800 2090

11900 2066

12000 2087

12100 2100

12200 2130

12300 2006

12400 1914

12500 2080

12600 2175

12700 1906

12800 2067

12900 2122

13000 1950

13100 2067

13200 2067

13300 2035

13400 1958

13500 2004

13600 2077

13700 2091

13800 1988

13900 2031

14000 2092

14100 1937

14200 2036

14300 2073

14400 2077

14500 2020

14600 2171

14700 1967

14800 2175

14900 2025

15000 2009

15100 2090

15200 2045

15300 1994

15400 1993

15500 1994

15600 2010

15700 2018

15800 2138

15900 2104

16000 2127

16100 2020

16200 1988

16300 2091

16400 1936

16500 2080

16600 1908

16700 2167

16800 1944

16900 2009

17000 2018

17100 2028

17200 2042

17300 2054

17400 1987

17500 1988

17600 2036

17700 2062

17800 2072

17900 2185

18000 2112

18100 1926

18200 2055

18300 2066

18400 2019

18500 2006

18600 2174

18700 2042

18800 1984

18900 2061

19000 2016

19100 2024

19200 2080

19300 1995

19400 1996

19500 2098

19600 2083

19700 2149

19800 1943

19900 2038

20000 2012

20100 2007

20200 2034

20300 2124

20400 2049

20500 2027

