update tasks_solved
0 1

100 390

200 1958

300 5102

400 7787

500 8263

600 8344

700 8018

800 8225

900 8280

1000 8119

1100 8103

1200 8304

1300 8066

1400 8100

1500 8103

1600 8168

1700 8202

1800 8207

1900 8299

2000 8283

2100 8051

2200 8391

2300 8194

2400 8361

2500 8253

2600 8166

2700 8104

2800 7864

2900 8159

3000 8035

3100 7929

3200 8048

3300 8417

3400 8005

3500 7986

3600 8356

3700 8016

3800 8194

3900 8253

4000 8227

4100 8133

4200 8354

4300 8270

4400 7905

4500 8426

4600 8225

4700 8164

4800 8227

4900 8178

5000 8332

5100 8312

5200 8463

5300 8211

5400 8120

5500 7998

5600 8320

5700 8397

5800 8145

5900 8383

6000 8177

6100 8251

6200 8267

6300 8168

6400 8065

6500 8119

6600 7798

6700 8004

6800 8061

6900 7894

7000 8188

7100 8305

7200 8173

7300 8139

7400 7989

7500 7958

7600 8396

7700 7909

7800 8180

7900 8168

8000 8424

8100 8241

8200 8221

8300 8273

8400 8086

8500 8460

8600 7972

8700 8207

8800 8456

8900 8225

9000 8360

9100 8053

9200 8371

9300 7947

9400 8282

9500 8237

9600 8373

9700 8472

9800 7967

9900 8044

10000 8178

10100 8295

10200 8150

10300 8148

10400 8288

10500 8137

10600 8336

10700 8197

10800 8165

10900 8064

11000 8128

11100 8334

11200 8353

11300 8084

11400 8289

11500 7947

11600 8177

11700 8193

11800 8100

11900 8347

12000 8074

12100 8131

12200 8222

12300 8279

12400 8072

12500 8073

12600 8044

12700 7988

12800 8145

12900 8262

13000 8327

13100 8056

13200 8052

13300 8264

13400 8478

13500 8018

13600 8331

13700 8169

13800 8326

13900 8088

14000 8277

14100 8332

14200 8163

14300 8174

14400 8245

14500 8152

14600 8367

14700 8194

14800 8112

14900 8228

15000 8071

15100 8142

15200 8251

15300 8210

15400 8294

15500 8283

15600 8194

15700 8024

15800 8002

15900 8010

16000 8193

16100 8444

16200 7843

16300 8047

16400 8079

16500 8136

16600 8266

16700 8103

16800 8392

16900 8198

17000 8242

17100 8171

17200 8137

17300 7950

17400 8093

17500 8303

17600 8333

17700 8079

17800 8433

17900 8145

18000 8258

18100 8134

18200 8073

18300 8298

18400 8200

18500 7952

18600 7980

18700 8243

18800 8231

18900 7969

19000 8028

19100 8124

19200 8069

19300 8283

19400 8161

19500 8192

19600 8274

19700 8120

19800 8259

19900 8214

20000 8013

20100 8211

20200 8370

20300 8037

20400 8245

20500 8243

