update tasks_solved
0 1

100 421

200 2061

300 4537

400 7658

500 8194

600 8243

700 8315

800 8104

900 8085

1000 8083

1100 7965

1200 8091

1300 8280

1400 8253

1500 8279

1600 7971

1700 8344

1800 8226

1900 7928

2000 8233

2100 8077

2200 7944

2300 8232

2400 7922

2500 8216

2600 8337

2700 8101

2800 8290

2900 8123

3000 8193

3100 8067

3200 8200

3300 8040

3400 8182

3500 8117

3600 8071

3700 7985

3800 8280

3900 8342

4000 8310

4100 8141

4200 8087

4300 8276

4400 8051

4500 8268

4600 7975

4700 8317

4800 8176

4900 8231

5000 8318

5100 8176

5200 7972

5300 8376

5400 8167

5500 7947

5600 8278

5700 7904

5800 8146

5900 8233

6000 8128

6100 8168

6200 7819

6300 8200

6400 8323

6500 8386

6600 8247

6700 8210

6800 8290

6900 8037

7000 8145

7100 8334

7200 7875

7300 7862

7400 8173

7500 7978

7600 8177

7700 7978

7800 8133

7900 8382

8000 8262

8100 8121

8200 8296

8300 8159

8400 8418

8500 8337

8600 8335

8700 8245

8800 8443

8900 8140

9000 8233

9100 8315

9200 8179

9300 8191

9400 8063

9500 8052

9600 8101

9700 8166

9800 8361

9900 8177

10000 8005

10100 8218

10200 8307

10300 7941

10400 8206

10500 8097

10600 8007

10700 8059

10800 8400

10900 8101

11000 8158

11100 8126

11200 8019

11300 8031

11400 8265

11500 8097

11600 8068

11700 7953

11800 8252

11900 8134

12000 8216

12100 8446

12200 8180

12300 8097

12400 8197

12500 8097

12600 8200

12700 8100

12800 8095

12900 8060

13000 7901

13100 8092

13200 8366

13300 8049

13400 7675

13500 8109

13600 8127

13700 8238

13800 7985

13900 8099

14000 8338

14100 8280

14200 8543

14300 8367

14400 8185

14500 8040

14600 8121

14700 8127

14800 8166

14900 8308

15000 8069

15100 8152

15200 8142

15300 8082

15400 8250

15500 8141

15600 8101

15700 7924

15800 8265

15900 8416

16000 8443

16100 8425

16200 8040

16300 8167

16400 8328

16500 8036

16600 7884

16700 8053

16800 8193

16900 8339

17000 8044

17100 8162

17200 8560

17300 8420

17400 8215

17500 7960

17600 8239

17700 8149

17800 8075

17900 8046

18000 8163

18100 8338

18200 8273

18300 8204

18400 8054

18500 8014

18600 8009

18700 8036

18800 8213

18900 7888

19000 8513

19100 8149

19200 8128

19300 8033

19400 7943

19500 8447

19600 8109

19700 8226

19800 8281

19900 8025

20000 8346

20100 8082

20200 8236

20300 8218

20400 8364

20500 8128

